reynolds,pred_flow,selecting,pred_pressure
1.01E-02,2.07E-05,0.00092743,0.0049739
1.25E-02,2.64E-05,0.0010577,0.005485
1.46E-02,3.15E-05,0.0011622,0.0059103
1.60E-02,3.50E-05,0.0012323,0.0061914
1.92E-02,4.30E-05,0.0013992,0.0068163
2.05E-02,4.63E-05,0.0014652,0.0070367
2.31E-02,5.29E-05,0.0015861,0.0074403
2.63E-02,6.14E-05,0.0017246,0.0079699
2.95E-02,7.00E-05,0.0018545,0.0084728
3.69E-02,9.00E-05,0.0021359,0.0094705
3.81E-02,9.33E-05,0.0021817,0.0096178
4.73E-02,0.00011905,0.0025397,0.010713
5.05E-02,0.00012806,0.0026536,0.011058
6.92E-02,0.00018215,0.0032756,0.012838
8.97E-02,0.00024307,0.0038916,0.01455
1.06E-01,0.0002937,0.0043575,0.015861
1.21E-01,0.00033793,0.0047332,0.016918
1.36E-01,0.00038577,0.0051288,0.017979
1.75E-01,0.00050564,0.0060552,0.020346
2.22E-01,0.00065014,0.0070888,0.022801
3.21E-01,0.00094246,0.0090729,0.027465
3.73E-01,0.0010806,0.010023,0.029526
4.30E-01,0.0012311,0.011023,0.03163
4.60E-01,0.0013113,0.011522,0.032692
5.74E-01,0.001633,0.013361,0.036578
6.03E-01,0.0017147,0.013805,0.03749
6.17E-01,0.0017537,0.014014,0.037917
7.36E-01,0.0020883,0.015726,0.041378
7.47E-01,0.002119,0.015868,0.041678
8.96E-01,0.0025322,0.017806,0.045527
9.03E-01,0.0025523,0.017901,0.045709
1.08E+00,0.0030123,0.020081,0.049828
1.09E+00,0.0030546,0.020277,0.05019
1.10E+00,0.0030852,0.020419,0.05045
1.38E+00,0.0038408,0.023877,0.056439
1.39E+00,0.0038667,0.023986,0.056636
1.65E+00,0.0045492,0.026602,0.061654
1.77E+00,0.0048643,0.027819,0.063822
1.77E+00,0.0048714,0.027846,0.06387
2.28E+00,0.0062363,0.032857,0.072271
2.40E+00,0.0065424,0.033936,0.074028
2.73E+00,0.0074039,0.036898,0.078799
3.33E+00,0.0089897,0.042078,0.086962
3.67E+00,0.0098758,0.0449,0.091325
3.87E+00,0.010374,0.046461,0.093718
4.16E+00,0.011109,0.048723,0.097167
4.71E+00,0.012515,0.052848,0.10345
5.04E+00,0.01336,0.055231,0.10707
5.33E+00,0.014075,0.057231,0.11003
5.88E+00,0.015425,0.060948,0.11529
6.87E+00,0.017889,0.067531,0.12415
7.38E+00,0.019198,0.070777,0.12856
7.54E+00,0.019597,0.071736,0.12986
8.98E+00,0.023346,0.080323,0.14157
1.15E+01,0.029696,0.094271,0.16023
1.17E+01,0.030227,0.095396,0.16171
1.47E+01,0.037514,0.11003,0.18042
1.52E+01,0.038817,0.1125,0.1835
1.72E+01,0.043866,0.12162,0.19479
1.88E+01,0.047753,0.1282,0.20299
1.89E+01,0.047893,0.12844,0.20328
2.03E+01,0.051494,0.1349,0.2106
2.48E+01,0.062104,0.15119,0.23088
2.58E+01,0.06458,0.15493,0.23539
2.64E+01,0.066065,0.15717,0.23805
3.02E+01,0.075164,0.17073,0.25377
3.22E+01,0.080046,0.17774,0.26168
3.59E+01,0.088951,0.19036,0.27545
3.71E+01,0.091942,0.19465,0.27997
4.29E+01,0.10554,0.21406,0.29944
4.50E+01,0.11046,0.22085,0.30599
4.76E+01,0.11665,0.22911,0.31393
5.71E+01,0.13942,0.25627,0.34088
6.35E+01,0.15469,0.27281,0.35745
6.68E+01,0.16228,0.2808,0.36535
7.25E+01,0.17559,0.29459,0.37883
7.42E+01,0.17956,0.29858,0.38268
8.81E+01,0.21217,0.33028,0.41253
9.05E+01,0.2177,0.33558,0.4174
1.04E+02,0.24888,0.36605,0.44395
1.09E+02,0.26053,0.378,0.45333
1.24E+02,0.29379,0.41215,0.47763
1.29E+02,0.30536,0.42253,0.48485
1.34E+02,0.31577,0.43084,0.49084
1.53E+02,0.36253,0.4621,0.51522
1.71E+02,0.39841,0.48877,0.53527
1.71E+02,0.39915,0.48932,0.53566
1.76E+02,0.40993,0.49688,0.54094
1.86E+02,0.4311,0.51335,0.55185
2.05E+02,0.4582,0.54642,0.57272
2.18E+02,0.47775,0.56567,0.58466
2.21E+02,0.48311,0.57039,0.58757
2.34E+02,0.50207,0.5892,0.59912
2.40E+02,0.51027,0.59688,0.60396
2.54E+02,0.52767,0.61142,0.6138
2.62E+02,0.53745,0.61898,0.61944
2.69E+02,0.5475,0.62561,0.62479
2.92E+02,0.57912,0.6422,0.63991
3.14E+02,0.60282,0.65552,0.65396
3.25E+02,0.61228,0.66091,0.66008
3.37E+02,0.62348,0.66697,0.66713
3.41E+02,0.6267,0.6686,0.66905
3.59E+02,0.64381,0.67685,0.67897
3.85E+02,0.66569,0.68757,0.6914
4.53E+02,0.7163,0.71763,0.72033
4.53E+02,0.71687,0.71802,0.72068
5.27E+02,0.74265,0.74503,0.74469
5.28E+02,0.74289,0.74538,0.74503
6.34E+02,0.7727,0.77555,0.77769
6.36E+02,0.77307,0.77588,0.77804
8.00E+02,0.81096,0.80992,0.81227
8.02E+02,0.81122,0.81017,0.81252
1.02E+03,0.83236,0.8337,0.83618
1.02E+03,0.83254,0.8339,0.83638
1.33E+03,0.86094,0.86371,0.86461
1.34E+03,0.86144,0.8642,0.86509
1.75E+03,0.8905,0.89193,0.8932
1.76E+03,0.89067,0.89209,0.89336
2.56E+03,0.91522,0.91522,0.91522
3.52E+03,0.93609,0.93407,0.93594
3.53E+03,0.93621,0.9342,0.93609
3.55E+03,0.93658,0.93459,0.93654
4.94E+03,0.95132,0.95266,0.95572
4.96E+03,0.95149,0.95285,0.95591
1.01E+04,0.98097,0.98254,0.98403
1.01E+04,0.98105,0.98263,0.98412
1.99E+04,0.9954,0.997,1.000
1.99E+04,0.9954,0.997,1.000
2.00E+04,0.9955,0.997,1.000
10E+04,1,1,1
10E+05,1,1,1
